Song,Quadrant
A002,Q4
A014,Q1
A020,Q2
A022,Q1
A043,Q1
A047,Q1
A051,Q2
A052,Q2
A058,Q4
A068-167,Q2
A082-93,Q2
A083-158,Q3
A090-94,Q2
A091-95,Q2
A092-96,Q1
A095-113,Q1
A096-68,Q3
A100-124,Q1
A105-117,Q1
A106-100,Q3
A109-138,Q4
A111-141,Q4
A116-135,Q2
A119-151,Q4
A120-168,Q4
A126-77,Q3
A128-109,Q1
A131-101,Q2
A132-121,Q1
A141-139,Q4
A143-72,Q3
A147-169,Q2
A148-102,Q1
A152-108,Q1
A159-164,Q2
A160-149,Q1
A162,Q1
A165,Q4
A166,Q1
A170,Q3
A174,Q2
A179,Q4
A186,Q4
A188,Q3
A190,Q4
A192,Q4
A195,Q3
MT0000004637,Q3
MT0000008995,Q3
MT0000010219,Q3
MT0000010844,Q4
MT0000011357,Q2
MT0000011975,Q2
MT0000022993,Q3
MT0000026571,Q4
MT0000027422,Q3
MT0000027476,Q3
MT0000030834,Q4
MT0000038502,Q2
MT0000040632,Q1
MT0000042939,Q2
MT0000043184,Q3
MT0000048600,Q4
MT0000054705,Q4
MT0000062500,Q3
MT0000063684,Q4
MT0000066236,Q2
MT0000068300,Q4
MT0000074128,Q3
MT0000082188,Q3
MT0000086233,Q3
MT0000088320,Q3
MT0000089238,Q2
MT0000092267,Q4
MT0000092637,Q3
MT0000093583,Q1
MT0000097008,Q4
MT0000097948,Q4
MT0000098581,Q3
MT0000104363,Q1
MT0000105192,Q4
MT0000105492,Q1
MT0000109716,Q4
MT0000113311,Q1
MT0000117176,Q4
MT0000119987,Q1
MT0000123853,Q3
MT0000124779,Q3
MT0000135916,Q4
MT0000145509,Q2
MT0000146966,Q1
MT0000147182,Q4
MT0000151451,Q4
MT0000151529,Q3
MT0000153970,Q2
MT0000161127,Q1
MT0000162219,Q3
MT0000169174,Q2
MT0000169836,Q2
MT0000171421,Q3
MT0000171852,Q3
MT0000177451,Q3
MT0000177878,Q4
MT0000185453,Q3
MT0000186467,Q2
MT0000190640,Q2
MT0000192015,Q4
MT0000192913,Q3
MT0000203193,Q4
MT0000203272,Q3
MT0000204016,Q1
MT0000222773,Q4
MT0000225806,Q1
MT0000231442,Q2
MT0000245808,Q1
MT0000249842,Q1
MT0000252574,Q1
MT0000258223,Q4
MT0000258646,Q2
MT0000271454,Q1
MT0000271970,Q2
MT0000272906,Q2
MT0000283043,Q2
MT0000287606,Q4
MT0000287921,Q2
MT0000289116,Q3
MT0000292000,Q4
MT0000293345,Q3
MT0000299291,Q3
MT0000300896,Q3
MT0000302038,Q1
MT0000312152,Q3
MT0000315363,Q1
MT0000315392,Q3
MT0000317770,Q1
MT0000318279,Q4
MT0000321394,Q2
MT0000321824,Q4
MT0000335310,Q4
MT0000336135,Q4
MT0000344141,Q1
MT0000348835,Q4
MT0000353361,Q3
MT0000370694,Q4
MT0000377411,Q2
MT0000379144,Q3
MT0000380307,Q4
MT0000380971,Q3
MT0000392975,Q1
MT0000398595,Q4
MT0000400490,Q1
MT0000401186,Q1
MT0000401600,Q1
MT0000409922,Q4
MT0000413173,Q3
MT0000414517,Q1
MT0000419956,Q2
MT0000425270,Q2
MT0000426771,Q3
MT0000426880,Q1
MT0000441552,Q2
MT0000442827,Q1
MT0000447539,Q4
MT0000460427,Q4
MT0000460480,Q4
MT0000463371,Q2
MT0000475876,Q1
MT0000481003,Q1
MT0000481304,Q4
MT0000483039,Q4
MT0000487439,Q3
MT0000495176,Q2
MT0000518591,Q1
MT0000522789,Q4
MT0000522938,Q2
MT0000524741,Q4
MT0000526867,Q3
MT0000547065,Q3
MT0000550961,Q4
MT0000556349,Q1
MT0000562195,Q2
MT0000567692,Q3
MT0000570966,Q3
MT0000573766,Q2
MT0000576231,Q2
MT0000581530,Q1
MT0000595581,Q4
MT0000603561,Q3
MT0000604234,Q2
MT0000615489,Q1
MT0000619767,Q3
MT0000620635,Q4
MT0000621840,Q1
MT0000631491,Q4
MT0000636335,Q4
MT0000642549,Q2
MT0000647818,Q4
MT0000664362,Q1
MT0000666429,Q2
MT0000672880,Q1
MT0000682947,Q2
MT0000685324,Q3
MT0000685552,Q3
MT0000688115,Q3
MT0000694316,Q2
MT0000698081,Q4
MT0000704913,Q1
MT0000712071,Q1
MT0000712316,Q1
MT0000716124,Q1
MT0000720686,Q3
MT0000721873,Q1
MT0000724357,Q2
MT0000732206,Q4
MT0000732821,Q2
MT0000735056,Q2
MT0000737624,Q1
MT0000737807,Q1
MT0000741489,Q2
MT0000744293,Q2
MT0000746822,Q4
MT0000754511,Q4
MT0000764951,Q3
MT0000772749,Q1
MT0000778102,Q2
MT0000780401,Q3
MT0000783307,Q2
MT0000789330,Q2
MT0000796526,Q3
MT0000805883,Q4
MT0000807741,Q1
MT0000808227,Q2
MT0000811092,Q4
MT0000811743,Q3
MT0000821772,Q4
MT0000825920,Q4
MT0000826010,Q1
MT0000829531,Q2
MT0000829765,Q3
MT0000834505,Q2
MT0000848769,Q4
MT0000850050,Q3
MT0000850957,Q2
MT0000852582,Q2
MT0000854722,Q1
MT0000857091,Q3
MT0000863543,Q1
MT0000865478,Q1
MT0000886723,Q3
MT0000888329,Q4
MT0000892306,Q2
MT0000895003,Q2
MT0000895905,Q4
MT0000897883,Q1
MT0000900387,Q2
MT0000900995,Q4
MT0000906888,Q4
MT0000910270,Q2
MT0000913916,Q4
MT0000920227,Q4
MT0000922312,Q4
MT0000931402,Q3
MT0000934613,Q2
MT0000936370,Q1
MT0000941301,Q3
MT0000945118,Q4
MT0000948111,Q1
MT0000949813,Q3
MT0000954088,Q1
MT0000956340,Q2
MT0000971834,Q2
MT0000972004,Q2
MT0000973218,Q2
MT0000975216,Q2
MT0000980148,Q4
MT0000982297,Q1
MT0000987523,Q1
MT0000992846,Q1
MT0000997306,Q2
MT0001016068,Q3
MT0001026170,Q1
MT0001030436,Q3
MT0001042055,Q4
MT0001043721,Q2
MT0001051344,Q4
MT0001053268,Q1
MT0001053762,Q2
MT0001057748,Q4
MT0001062700,Q3
MT0001068364,Q3
MT0001069996,Q4
MT0001082164,Q1
MT0001084444,Q1
MT0001094338,Q4
MT0001101467,Q2
MT0001102610,Q3
MT0001104727,Q4
MT0001106114,Q4
MT0001108070,Q4
MT0001115644,Q3
MT0001116511,Q2
MT0001117815,Q1
MT0001133011,Q2
MT0001135075,Q1
MT0001144930,Q4
MT0001152664,Q3
MT0001156310,Q3
MT0001157069,Q3
MT0001168323,Q4
MT0001169715,Q1
MT0001183783,Q4
MT0001193202,Q2
MT0001193331,Q1
MT0001193971,Q3
MT0001194164,Q3
MT0001195535,Q4
MT0001202986,Q1
MT0001227219,Q4
MT0001230193,Q2
MT0001230298,Q3
MT0001234946,Q1
MT0001236649,Q1
MT0001243566,Q1
MT0001253889,Q3
MT0001256033,Q3
MT0001266436,Q3
MT0001267997,Q4
MT0001276044,Q2
MT0001284282,Q1
MT0001284801,Q3
MT0001287647,Q2
MT0001289749,Q1
MT0001292451,Q1
MT0001297031,Q3
MT0001298241,Q3
MT0001302466,Q3
MT0001305550,Q3
MT0001308506,Q4
MT0001309422,Q3
MT0001313815,Q4
MT0001318718,Q1
MT0001323755,Q4
MT0001323890,Q3
MT0001328889,Q2
MT0001332899,Q3
MT0001333258,Q2
MT0001335920,Q1
MT0001340527,Q3
MT0001340713,Q1
MT0001347462,Q4
MT0001353828,Q2
MT0001361436,Q2
MT0001368531,Q4
MT0001369981,Q3
MT0001376988,Q2
MT0001377616,Q4
MT0001377742,Q2
MT0001380360,Q2
MT0001385947,Q3
MT0001391154,Q1
MT0001394087,Q4
MT0001395462,Q3
MT0001397431,Q2
MT0001404677,Q3
MT0001415729,Q2
MT0001417252,Q4
MT0001418045,Q1
MT0001419145,Q2
MT0001436086,Q4
MT0001438043,Q4
MT0001440624,Q3
MT0001459810,Q2
MT0001472536,Q3
MT0001473110,Q2
MT0001474073,Q3
MT0001477169,Q4
MT0001494267,Q3
MT0001497191,Q1
MT0001504929,Q1
MT0001509368,Q1
MT0001510617,Q2
MT0001511433,Q4
MT0001514284,Q1
MT0001515028,Q4
MT0001515531,Q3
MT0001526386,Q3
MT0001526514,Q1
MT0001528638,Q4
MT0001531856,Q1
MT0001531906,Q4
MT0001542457,Q2
MT0001548914,Q3
MT0001553573,Q2
MT0001554870,Q2
MT0001578777,Q2
MT0001586807,Q1
MT0001590644,Q2
MT0001593342,Q2
MT0001605268,Q1
MT0001609615,Q4
MT0001609626,Q1
MT0001610102,Q1
MT0001610914,Q3
MT0001613887,Q2
MT0001615082,Q4
MT0001616074,Q2
MT0001634305,Q3
MT0001641166,Q2
MT0001641228,Q4
MT0001641430,Q3
MT0001642019,Q2
MT0001646256,Q3
MT0001648703,Q2
MT0001653728,Q4
MT0001658982,Q3
MT0001667621,Q4
MT0001676671,Q4
MT0001680969,Q1
MT0001696863,Q1
MT0001699798,Q4
MT0001701648,Q1
MT0001703346,Q1
MT0001705355,Q1
MT0001710592,Q2
MT0001732928,Q4
MT0001736229,Q4
MT0001738256,Q2
MT0001741017,Q1
MT0001742519,Q3
MT0001747053,Q3
MT0001753457,Q1
MT0001765726,Q4
MT0001768550,Q4
MT0001770136,Q1
MT0001779167,Q2
MT0001795697,Q1
MT0001798303,Q1
MT0001829666,Q1
MT0001831738,Q1
MT0001832838,Q4
MT0001835551,Q2
MT0001839466,Q3
MT0001841416,Q3
MT0001844620,Q3
MT0001852290,Q2
MT0001853221,Q3
MT0001855865,Q1
MT0001863795,Q2
MT0001868336,Q3
MT0001870847,Q4
MT0001877603,Q4
MT0001889244,Q1
MT0001891229,Q2
MT0001894368,Q4
MT0001898830,Q1
MT0001899447,Q3
MT0001899867,Q1
MT0001910188,Q3
MT0001916989,Q2
MT0001920501,Q3
MT0001927746,Q2
MT0001927921,Q2
MT0001929641,Q3
MT0001934410,Q2
MT0001934436,Q3
MT0001934726,Q3
MT0001943830,Q4
MT0001949173,Q4
MT0001952167,Q3
MT0001954919,Q4
MT0001962373,Q2
MT0001963447,Q2
MT0001967374,Q3
MT0001972829,Q3
MT0001975228,Q2
MT0001978806,Q2
MT0001980613,Q4
MT0001982863,Q3
MT0001988811,Q3
MT0001989408,Q2
MT0001992879,Q2
MT0001993943,Q2
MT0002007417,Q3
MT0002012491,Q2
MT0002014752,Q4
MT0002024101,Q2
MT0002024741,Q4
MT0002033217,Q3
MT0002033629,Q1
MT0002053300,Q1
MT0002054074,Q4
MT0002059011,Q2
MT0002060109,Q3
MT0002068648,Q1
MT0002071907,Q3
MT0002086401,Q3
MT0002087541,Q3
MT0002088249,Q1
MT0002099419,Q2
MT0002113056,Q1
MT0002119439,Q1
MT0002124238,Q4
MT0002126934,Q3
MT0002131125,Q2
MT0002132088,Q4
MT0002139311,Q1
MT0002156561,Q1
MT0002161109,Q1
MT0002169629,Q2
MT0002177145,Q1
MT0002193996,Q4
MT0002203952,Q3
MT0002210361,Q4
MT0002218376,Q2
MT0002219036,Q4
MT0002222944,Q2
MT0002222957,Q1
MT0002233402,Q3
MT0002239079,Q2
MT0002242128,Q1
MT0002249354,Q4
MT0002250135,Q3
MT0002272314,Q2
MT0002291660,Q2
MT0002294387,Q1
MT0002297016,Q1
MT0002298774,Q2
MT0002307435,Q3
MT0002307493,Q4
MT0002308313,Q4
MT0002308613,Q1
MT0002316145,Q2
MT0002323154,Q1
MT0002327429,Q4
MT0002337555,Q2
MT0002342346,Q2
MT0002343207,Q1
MT0002347246,Q1
MT0002349114,Q4
MT0002359628,Q4
MT0002360219,Q1
MT0002366291,Q1
MT0002372242,Q2
MT0002379222,Q3
MT0002379942,Q2
MT0002385077,Q2
MT0002391847,Q1
MT0002397625,Q4
MT0002399275,Q2
MT0002408351,Q4
MT0002423836,Q2
MT0002448379,Q4
MT0002460914,Q2
MT0002472723,Q1
MT0002472801,Q4
MT0002477987,Q3
MT0002479795,Q2
MT0002500878,Q2
MT0002506076,Q1
MT0002510318,Q3
MT0002515172,Q4
MT0002525905,Q1
MT0002536460,Q3
MT0002548231,Q1
MT0002573253,Q3
MT0002580064,Q3
MT0002585767,Q3
MT0002591418,Q4
MT0002602057,Q2
MT0002604697,Q3
MT0002619035,Q4
MT0002621498,Q2
MT0002628272,Q1
MT0002638821,Q4
MT0002653551,Q4
MT0002655864,Q2
MT0002659854,Q4
MT0002670113,Q4
MT0002672499,Q1
MT0002674708,Q4
MT0002675791,Q4
MT0002679562,Q4
MT0002698706,Q1
MT0002698827,Q4
MT0002699966,Q1
MT0002701422,Q2
MT0002711792,Q2
MT0002714093,Q3
MT0002714805,Q4
MT0002716927,Q4
MT0002737189,Q2
MT0002760912,Q3
MT0002761408,Q2
MT0002771537,Q3
MT0002785740,Q2
MT0002810052,Q2
MT0002811975,Q4
MT0002834532,Q4
MT0002840704,Q1
MT0002858390,Q4
MT0002859848,Q4
MT0002874481,Q3
MT0002874900,Q2
MT0002875103,Q2
MT0002889321,Q2
MT0002894033,Q1
MT0002894943,Q2
MT0002905185,Q3
MT0002907679,Q1
MT0002908894,Q1
MT0002909109,Q1
MT0002920876,Q4
MT0002928993,Q3
MT0002940684,Q2
MT0002949712,Q2
MT0002951872,Q1
MT0002954708,Q2
MT0002955901,Q2
MT0002960288,Q4
MT0002960683,Q2
MT0002965366,Q3
MT0002973571,Q4
MT0002980543,Q4
MT0002983378,Q2
MT0002986568,Q3
MT0002999366,Q1
MT0003008724,Q2
MT0003017303,Q4
MT0003022328,Q4
MT0003023886,Q2
MT0003025373,Q1
MT0003025883,Q4
MT0003028265,Q4
MT0003037754,Q3
MT0003041246,Q2
MT0003044417,Q1
MT0003053135,Q3
MT0003072479,Q3
MT0003081888,Q4
MT0003085195,Q2
MT0003085925,Q1
MT0003097486,Q2
MT0003101727,Q3
MT0003102331,Q4
MT0003105414,Q3
MT0003106472,Q2
MT0003109823,Q3
MT0003114552,Q3
MT0003117846,Q2
MT0003119681,Q4
MT0003124476,Q2
MT0003129858,Q3
MT0003131369,Q1
MT0003136077,Q2
MT0003137690,Q2
MT0003146944,Q4
MT0003148189,Q4
MT0003149291,Q1
MT0003150748,Q3
MT0003170370,Q1
MT0003175531,Q1
MT0003179818,Q4
MT0003187533,Q4
MT0003189593,Q1
MT0003213617,Q4
MT0003213835,Q1
MT0003216840,Q1
MT0003237550,Q2
MT0003238922,Q4
MT0003243311,Q1
MT0003246728,Q1
MT0003263304,Q3
MT0003264792,Q4
MT0003272751,Q1
MT0003272904,Q3
MT0003274067,Q3
MT0003280103,Q4
MT0003285450,Q1
MT0003286463,Q1
MT0003287931,Q4
MT0003296174,Q1
MT0003299912,Q2
MT0003300388,Q3
MT0003304271,Q4
MT0003311798,Q2
MT0003315880,Q2
MT0003326925,Q2
MT0003328491,Q3
MT0003330378,Q4
MT0003336800,Q2
MT0003337396,Q2
MT0003344002,Q3
MT0003345751,Q2
MT0003353602,Q2
MT0003353794,Q3
MT0003361206,Q1
MT0003362617,Q3
MT0003366948,Q4
MT0003367947,Q3
MT0003382050,Q4
MT0003389088,Q4
MT0003390733,Q1
MT0003396470,Q3
MT0003402178,Q4
MT0003402994,Q1
MT0003410384,Q4
MT0003420996,Q3
MT0003421433,Q4
MT0003428477,Q4
MT0003442366,Q2
MT0003444822,Q2
MT0003462877,Q2
MT0003473344,Q4
MT0003475707,Q4
MT0003482336,Q2
MT0003501434,Q3
MT0003501456,Q1
MT0003504085,Q2
MT0003504525,Q3
MT0003510796,Q4
MT0003517837,Q4
MT0003530174,Q3
MT0003542756,Q3
MT0003546058,Q2
MT0003570082,Q1
MT0003585530,Q4
MT0003587042,Q2
MT0003594672,Q1
MT0003597979,Q4
MT0003598094,Q2
MT0003603497,Q4
MT0003612742,Q2
MT0003630870,Q2
MT0003639120,Q2
MT0003655811,Q3
MT0003659365,Q2
MT0003669917,Q1
MT0003688494,Q4
MT0003703624,Q3
MT0003710207,Q4
MT0003724610,Q1
MT0003728288,Q2
MT0003729518,Q1
MT0003741609,Q1
MT0003753139,Q4
MT0003762220,Q4
MT0003762339,Q2
MT0003782002,Q2
MT0003792475,Q3
MT0003794106,Q1
MT0003795778,Q1
MT0003799339,Q3
MT0003808089,Q3
MT0003821577,Q2
MT0003834848,Q2
MT0003853483,Q4
MT0003857948,Q2
MT0003859252,Q2
MT0003863509,Q3
MT0003868390,Q4
MT0003869539,Q1
MT0003880691,Q2
MT0003881997,Q2
MT0003895439,Q3
MT0003898980,Q4
MT0003906833,Q1
MT0003917550,Q1
MT0003935299,Q4
MT0003949060,Q1
MT0003956612,Q4
MT0003974181,Q3
MT0003979876,Q2
MT0004001276,Q3
MT0004001989,Q1
MT0004016308,Q1
MT0004018270,Q2
MT0004025604,Q2
MT0004027946,Q2
MT0004028719,Q2
MT0004032071,Q1
MT0004033010,Q1
MT0004034604,Q1
MT0004036096,Q4
MT0004037272,Q1
MT0004068560,Q2
MT0004071684,Q3
MT0004072079,Q2
MT0004072837,Q4
MT0004073991,Q2
MT0004082588,Q3
MT0004085907,Q2
MT0004087145,Q2
MT0004089549,Q4
MT0004091857,Q1
MT0004093767,Q4
MT0004098601,Q4
MT0004122617,Q1
MT0004131058,Q3
MT0004131260,Q3
MT0004137658,Q2
MT0004139859,Q3
MT0004156130,Q4
MT0004180568,Q4
MT0004186970,Q2
MT0004187531,Q4
MT0004194402,Q3
MT0004197514,Q2
MT0004212108,Q3
MT0004219321,Q4
MT0004230500,Q1
MT0004232099,Q3
MT0004254228,Q2
MT0004256890,Q4
MT0004260672,Q1
MT0004262978,Q4
MT0004263301,Q3
MT0004269670,Q3
MT0004274911,Q4
MT0004287283,Q3
MT0004290389,Q3
MT0004296158,Q3
MT0004301925,Q1
MT0004306521,Q4
MT0004317784,Q3
MT0004331116,Q4
MT0004337195,Q1
MT0004339430,Q1
MT0004342301,Q3
MT0004343785,Q3
MT0004352104,Q3
MT0004352726,Q4
MT0004362464,Q1
MT0004362501,Q4
MT0004383185,Q4
MT0004392421,Q1
MT0004395306,Q4
MT0004400843,Q3
MT0004409960,Q2
MT0004414074,Q2
MT0004422924,Q1
MT0004425744,Q1
MT0004428604,Q1
MT0004440606,Q3
MT0004444570,Q1
