filename_audio,path_audio,duration,sr,tempo,rms,spectral_centroid,stem,filename_lyrics,path_lyrics,chars,tokens
A001.mp3,..\data\audio\Q4\A001.mp3,30.06,32000.0,72.11538461538461,0.08517824858427048,2134.274286140925,A001,,,,
A002.mp3,..\data\audio\Q4\A002.mp3,30.06,32000.0,133.92857142857142,0.11427303403615952,1933.7591618924525,A002,,,,
A003.mp3,..\data\audio\Q3\A003.mp3,30.024,32000.0,98.6842105263158,0.04871351644396782,1758.1453285323987,A003,,,,
A004.mp3,..\data\audio\Q3\A004.mp3,30.06,32000.0,101.35135135135135,0.0732124075293541,1794.4557310307732,A004,,,,
A005.mp3,..\data\audio\Q1\A005.mp3,30.06,32000.0,120.96774193548387,0.061725568026304245,2726.5427303363517,A005,,,,
A010.mp3,..\data\audio\Q2\A010.mp3,30.06,32000.0,104.16666666666667,0.23826423287391663,2847.6473759521036,A010,,,,
A011.mp3,..\data\audio\Q1\A011.mp3,30.06,32000.0,133.92857142857142,0.16268371045589447,2278.5559261893677,A011,,,,
A013.mp3,..\data\audio\Q2\A013.mp3,30.06,32000.0,133.92857142857142,0.1876690834760666,2640.9155590844516,A013,,,,
A014.mp3,..\data\audio\Q1\A014.mp3,30.0,44100.0,172.265625,0.1791231632232666,4191.604032209359,A014,,,,
A017.mp3,..\data\audio\Q4\A017.mp3,27.245714285714286,22050.0,135.99917763157896,0.067020483314991,1653.2733736495084,A017,,,,
A018.mp3,..\data\audio\Q3\A018.mp3,30.06,32000.0,57.69230769230769,0.14662830531597137,980.8647392994059,A018,,,,
A019.mp3,..\data\audio\Q1\A019.mp3,30.0,44100.0,117.45383522727273,0.13927742838859558,2363.957483526117,A019,,,,
A020.mp3,..\data\audio\Q2\A020.mp3,30.06,32000.0,101.35135135135135,0.19722983241081238,3076.320990501515,A020,,,,
A021.mp3,..\data\audio\Q4\A021.mp3,30.06,32000.0,59.523809523809526,0.07275573909282684,1843.6805711645895,A021,,,,
A022.mp3,..\data\audio\Q1\A022.mp3,30.06,32000.0,120.96774193548387,0.21872752904891968,2304.0324573600833,A022,,,,
A023.mp3,..\data\audio\Q2\A023.mp3,29.999954648526078,22050.0,198.76802884615384,0.31203165650367737,3264.964097785755,A023,,,,
A024.mp3,..\data\audio\Q1\A024.mp3,30.06,32000.0,101.35135135135135,0.1760920286178589,2272.7231698358687,A024,,,,
A025.mp3,..\data\audio\Q2\A025.mp3,29.800430839002267,44100.0,191.40625,0.22482697665691376,2641.853790041192,A025,,,,
A028.mp3,..\data\audio\Q2\A028.mp3,30.06,32000.0,96.15384615384616,0.24908579885959625,3056.253883807572,A028,,,,
A029.mp3,..\data\audio\Q3\A029.mp3,29.988,32000.0,79.7872340425532,0.09174328297376633,1324.384082574427,A029,,,,
A030.mp3,..\data\audio\Q4\A030.mp3,30.06,32000.0,117.1875,0.07818643003702164,1449.2127337995375,A030,,,,
A032.mp3,..\data\audio\Q4\A032.mp3,30.0,44100.0,99.38401442307692,0.035679057240486145,1220.900258569582,A032,,,,
A034.mp3,..\data\audio\Q3\A034.mp3,30.0,44100.0,114.84375,0.19607187807559967,1628.7474931487277,A034,,,,
A035.mp3,..\data\audio\Q3\A035.mp3,30.0,44100.0,105.46875,0.051757607609033585,1223.4411504867392,A035,,,,
A038.mp3,..\data\audio\Q3\A038.mp3,30.0,44100.0,55.569556451612904,0.06407523155212402,1427.1964111439263,A038,,,,
A039.mp3,..\data\audio\Q1\A039.mp3,30.06,32000.0,101.35135135135135,0.14532513916492462,2954.7675867749954,A039,,,,
A042.mp3,..\data\audio\Q1\A042.mp3,29.1265306122449,22050.0,73.828125,0.15480242669582367,1477.5915878794808,A042,,,,
A043.mp3,..\data\audio\Q1\A043.mp3,29.936326530612245,22050.0,143.5546875,0.15558452904224396,1804.9270077306437,A043,,,,
A045.mp3,..\data\audio\Q3\A045.mp3,30.0,44100.0,172.265625,0.037478987127542496,1334.884597284693,A045,,,,
A047.mp3,..\data\audio\Q1\A047.mp3,29.489342403628118,44100.0,99.38401442307692,0.07685064524412155,3611.3998722596016,A047,,,,
A048.mp3,..\data\audio\Q3\A048.mp3,30.0,44100.0,93.96306818181819,0.11945173889398575,1425.0673092529153,A048,,,,
